event,key,timestamp
press,'d',1767513613.630719
release,'d',1767513613.769057
press,'g',1767513613.9246972
release,'g',1767513613.981364
press,'b',1767513614.120499
release,'b',1767513614.2243881
press,'g',1767513614.351329
release,'g',1767513614.410503
press,'b',1767513614.822318
release,'b',1767513614.8858602
press,'d',1767513615.583414
release,'d',1767513615.7020202
press,'g',1767513615.874958
release,'g',1767513615.998879
press,'h',1767513616.313897
release,'h',1767513616.461791
press,'s',1767513616.556842
release,'s',1767513616.693723
press,'k',1767513616.9576461
release,'k',1767513617.044579
press,'j',1767513617.1506948
release,'j',1767513617.2233112
press,'d',1767513617.248354
release,'d',1767513617.4331572
press,'g',1767513617.533268
release,'g',1767513617.665422
press,'j',1767513617.781834
release,'j',1767513617.893873
press,'i',1767513618.145111
release,'i',1767513618.2252219
press,'n',1767513618.392837
release,'n',1767513618.4178612
press,'f',1767513618.528426
release,'f',1767513618.661982
press,'g',1767513618.6936362
release,'g',1767513618.769889
press,'h',1767513618.848671
release,'h',1767513618.940577
press,'s',1767513619.099006
release,'s',1767513619.234717
press,'t',1767513619.396598
release,'t',1767513619.508586
press,'f',1767513619.6323972
release,'f',1767513619.705173
press,'s',1767513619.757657
release,'s',1767513619.8695612
press,'h',1767513619.930341
release,'h',1767513619.994952
press,'j',1767513620.087795
press,'h',1767513620.091297
release,'h',1767513620.127101
release,'j',1767513620.155235
press,'j',1767513620.2283719
press,'y',1767513620.421103
release,'j',1767513620.432181
release,'y',1767513620.502665
press,'t',1767513620.5889332
release,'t',1767513620.645944
press,'d',1767513620.7740731
release,'d',1767513620.9219751
press,'k',1767513620.949516
press,'a',1767513621.0268512
release,'k',1767513621.037291
press,'w',1767513621.4750988
press,'y',1767513621.5067499
press,'e',1767513621.573652
release,'a',1767513621.597271
release,'y',1767513621.621162
release,'w',1767513621.6249862
release,'e',1767513621.6866171
press,'h',1767513621.732992
release,'h',1767513621.829515
press,'s',1767513621.865945
press,'a',1767513622.0670679
press,'j',1767513622.073178
release,'s',1767513622.076996
press,'h',1767513622.085097
release,'j',1767513622.129111
press,'b',1767513622.165641
release,'h',1767513622.169178
release,'b',1767513622.225954
press,'h',1767513622.2583098
release,'h',1767513622.2943099
release,'a',1767513622.335356
press,'f',1767513622.335476
press,'t',1767513622.389531
release,'f',1767513622.393091
press,'a',1767513622.4057841
release,'t',1767513622.457193
release,'a',1767513622.467103
press,'w',1767513622.556082
press,'t',1767513622.5646982
release,'t',1767513622.592989
release,'w',1767513622.605151
press,'h',1767513622.700002
release,'h',1767513622.7333272
press,'s',1767513622.743669
release,'s',1767513622.779271
press,'a',1767513622.7976162
press,Key.caps_lock,1767513622.8875031
release,Key.caps_lock,1767513622.887557
release,'A',1767513622.909965
press,'J',1767513623.173375
release,'J',1767513623.210886
press,'H',1767513623.240669
release,'H',1767513623.30048
press,'U',1767513623.3143911
press,'Q',1767513623.3588648
release,'U',1767513623.383013
release,'Q',1767513623.459697
press,'J',1767513623.474019
press,'K',1767513623.4741771
release,'J',1767513623.5413299
release,'K',1767513623.547273
press,Key.caps_lock,1767513623.570339
release,Key.caps_lock,1767513623.570344
press,'h',1767513623.588435
release,'h',1767513623.620506
press,'s',1767513623.648913
press,'h',1767513623.7218728
release,'s',1767513623.749808
release,'h',1767513623.762142
press,'s',1767513623.853045
press,'k',1767513623.9405062
release,'s',1767513623.94074
release,'k',1767513624.0202591
press,Key.esc,1767513629.247684
release,Key.esc,1767513629.363982
